Kota_Inflasi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,134.29,133.34,133.86,134.1,135.89,137.66,137.95,138.22,139.48,139.73,139.03,138.77
KOTA BANDA ACEH,128.75,128.06,127.5,127.96,129.85,130.34,130.03,130.12,129.41,129.5,129.37,129.97
KOTA LHOKSEUMAWE,131.34,130.45,129.86,130.69,131.81,132.21,132.5,131.78,131.22,131.91,131.94,132.73
KOTA SIBOLGA,140.46,139.48,139.82,141.43,142.38,145.59,148.33,147.47,144.61,144.08,143.39,144.12
KOTA PEMATANG SIANTAR,139.1,138.69,139.06,140.49,141.43,142.71,143.12,142.55,140.87,140.89,140.75,141.23
KOTA MEDAN,138.83,138.42,138.86,140.66,142.53,144.92,146.3,146.7,143.88,143.39,142.29,141.89
KOTA PADANGSIDIMPUAN,133.65,133.05,133.38,133.86,134.22,136.62,136.7,136.97,135.67,136.15,136.08,135.9
KOTA PADANG,140.11,139.49,139.95,140.56,141.77,143.28,144.55,144.41,143.04,142.55,142.07,142.17
KOTA BUKITTINGGI,131.34,130.7,130.84,131.51,132.54,134.24,134.86,135.18,133.69,133.72,133.59,133.58
TEMBILAHAN,139.53,138.75,139.28,140.76,142.58,143.85,144.3,143.83,143.43,142.58,142.37,142.34
KOTA PEKANBARU,136.4,135.96,136.08,136.77,137.53,139.32,140.59,141.09,140.76,140.7,140.34,140.03
KOTA DUMAI,136.25,135.82,135.92,136.39,137.82,138.92,139.49,139.14,138.04,138.11,137.95,138.05
BUNGO,133.21,132.94,133.4,134,136.14,137.54,137.75,137.57,136.96,136.71,136.01,136.3
KOTA JAMBI,133.89,133.5,133.94,134.76,135.27,136.65,137.3,136.15,135.83,135.98,135.76,136.28
KOTA PALEMBANG,132.27,131.95,131.94,132.67,133.17,133.92,134.44,134.23,134.01,133.89,134.29,134.81
KOTA LUBUKLINGGAU,132.14,131.61,131.76,132.24,133.4,134.06,134.66,134.57,134.15,134.19,134.24,134.57
KOTA BENGKULU,144.39,143.98,143.65,144.43,146.04,147.15,147.98,146.7,147.64,146.82,146.43,147.3
KOTA BANDAR LAMPUNG,135.47,135.02,135.49,136.42,137.53,138.4,139.38,139.55,139.3,139.17,139.26,139.92
KOTA METRO,139.63,139.58,139.8,140.52,141.21,141.89,142.49,143.08,142.64,142.5,143.01,143.58
TANJUNG PANDAN,145.12,143.93,144.32,145.97,146.27,145.67,147.46,146.95,147.65,147.77,146.21,147.92
KOTA PANGKAL PINANG,142.99,142.3,141.22,142.26,144.79,146.22,145.62,145.48,145.61,145.58,144.39,144.94
KOTA BATAM,137.14,137.5,137.48,137.73,139.15,139.48,140.33,139.12,138.35,137.97,137.96,139.73
KOTA TANJUNG PINANG,133.96,134.01,133.63,133.84,135.03,135.46,136.23,135.71,135.56,135.19,134.96,136.54
DKI JAKARTA,135.58,135.93,136.12,136.67,137.47,138.12,138.47,138.7,138.65,138.94,139.2,139.62
KOTA BOGOR,137.26,136.71,137.09,137.77,138.57,139.82,140.02,140.54,139.87,140.1,140.44,140.86
KOTA SUKABUMI,134.49,134.3,134.35,134.97,135.84,136.34,136.72,136.66,136.41,136.36,136.74,137.19
KOTA BANDUNG,134.6,134.49,134.53,135.11,136.25,136.39,137.14,137.97,137.59,137.41,137.6,138.22
KOTA CIREBON,130.24,130.03,130.27,130.62,131.1,131.3,131.62,131.94,131.62,131.66,132,132.58
KOTA BEKASI,133.02,133.25,133.26,133.72,135.12,135.59,136.45,136.95,136.87,136.76,137.27,137.79
KOTA DEPOK,133.19,133.13,133.45,134.11,135.3,136.8,136.87,137.36,137.01,136.88,137.06,137.31
KOTA TASIKMALAYA,132.77,132.63,132.67,132.95,133.88,134.26,134.52,134.58,134.07,133.97,134.06,134.5
